Player ID,Player Nickname,First Name,Last Name,Nationality,Date of Birth,Individual Player Skill,Micro Skill,Laning,Reflexes,Abilities,Macro Skill,Awareness,Efficiency,Decisions,Mental Skill,Consistency,Creativity,Composure,Personality Attributes,Communication,Experience,Leadership,Photo URL
1,Yatoro,Illya,Mulyarchuk,Ukraine,2003-03-12,9.2,9.0,9,9,9,9.3,9,9,10,9.0,9,8,10,6.7,8,8,4,https://liquipedia.net/commons/Special:Redirect/file/Yatoro_2025_Team_Spirit.jpg
2,Larl,Denis,Sigitov,Russia,2002-01-22,8.0,8.0,8,8,8,8.0,8,8,8,7.3,7,6,9,7.4,7.9,6.4,6.6,https://liquipedia.net/commons/Special:Redirect/file/Larl_2025_Team_Spirit.jpg
3,Collapse,Magomed,Khalilov,Russia,2002-02-25,9.2,9.0,9,9,9,9.3,9,9,10,8.7,9,8,9,8.4,9.2,6.4,7.7,https://liquipedia.net/commons/Special:Redirect/file/Collapse_2025_Team_Spirit.jpg
4,not me,Alexey,Kosmynin,Russia,2004-04-27,8.8,9.0,9.3,8.4,9.0,9.6,10.0,8.9,9.4,9.1,8.9,9.4,9.3,8.3,9.6,5.3,8.2,
5,rue,Aleksandr,Filin,Russia,2004-01-19,7.9,7.8,7.7,7.9,7.8,8.2,8.3,8.1,8.1,7.8,7.7,7.9,7.8,6.6,8.0,7.1,6.3,https://liquipedia.net/commons/Special:Redirect/file/rue_2025_Team_Spirit.jpg
6,Satanic,Alan,Gallyamov,Russia,2007-10-13,9.1,9.7,9.1,9.4,9.5,8.6,8.7,9.7,8.7,8.7,9.2,9.5,8.9,8.7,9.1,3.6,7.3,https://liquipedia.net/commons/Special:Redirect/file/Satanic_2025_PARIVISION.jpg
7,No[o]ne-,Volodymyr,Minenko,Ukraine,1997-09-04,8.7,8.8,9,9,9,8.3,8,8,9,7.4,8,9,8,6.5,8,9,6,https://liquipedia.net/commons/Special:Redirect/file/Noone_2024_PARIVISION.png
8,Noticed,Evgeniy,Ignatenko,Russia,2002-08-06,8.7,9.0,9.5,9.5,8.9,9.1,9.4,8.8,9.3,9.0,8.8,9.0,9.3,8.2,9.0,6.4,8.3,https://liquipedia.net/commons/Special:Redirect/file/Noticed_2025_Team_Yandex.webp
9,9Class,Edgar,Naltakian<!-- From passport  given by Braunbaerin https://discord.com/channels/93055209017729024/213718409567928331/1193310693638803506 -->,Russia,2003-07-19,9.3,8.7,9.0,8.9,9.5,9.3,9.7,9.4,9.1,8.8,9.4,9.1,9.1,8.8,9.4,5.8,8.8,https://liquipedia.net/commons/Special:Redirect/file/9Class_2024_PARIVISION.png
10,Dukalis,Andrey,Kuropatkin,Russia,2002-02-18,9.1,8.7,8.5,8.7,9.3,9.1,9.5,8.8,9.7,8.6,9.2,9.4,8.9,8.6,9.9,6.4,9.0,https://liquipedia.net/commons/Special:Redirect/file/Dukalis_2024_PARIVISION.png
